Name,ProductGroup,SKU,Barcode,MeasurementUnit,Cost,Markup,Price,Tax,IsTaxInclusivePrice,IsPriceChangeAllowed,IsUsingDefaultQuantity,IsService,IsEnabled,Description,Supplier,ReorderPoint,PreferredQuantity,LowStockWarning,WarningQuantity
LACTOGEN 1 200gm,Baby Food,1,8961008220208,,0,0,500.0,,1,0,0,0,1,,,,,,
LACTOGEN 2 200gm,Baby Food,2,8961008221014,,0,0,500.0,,1,0,0,0,1,,,,,,
Lactogrow 3 200gm,Baby Food,3,8961008219974,,0,0,500.0,,1,0,0,0,1,,,,,,
LACTOGEN 1 400gm,Baby Food,4,8961008218571,,0,0,990.0,,1,0,0,0,1,,,,,,
LACTOGEN 2 400gm,Baby Food,5,8961008220246,,0,0,990.0,,1,0,0,0,1,,,,,,
LACTOGROW 3 400gm,Baby Food,6,8961008219981,,0,0,990.0,,1,0,0,0,1,,,,,,
LACTOGEN Recover 200gm,Baby Food,7,8961008220796,,0,0,700.0,,1,0,0,0,1,,,,,,
LACTOGEN 1 800gm,Baby Food,8,8961008220222,,0,0,1970.0,,1,0,0,0,1,,,,,,
LACTOGEN 2 800gm,Baby Food,9,8961008221038,,0,0,1970.0,,1,0,0,0,1,,,,,,
Nestle Cerleac Three Fruits and Wheat 175gm,Baby Food,10,8961008220284,,0,0,340.0,,1,0,0,0,1,,,,,,
Nestle Cerleac Wheat 175gm,Baby Food,11,8961008210490,,0,0,340.0,,1,0,0,0,1,,,,,,
Nestle Cerleac Rice 175gm,Baby Food,12,8961008220451,,0,0,340.0,,1,0,0,0,1,,,,,,
Nestle Cerleac With Apple, Pear and Strawberry 175gm,Baby Food,13,8961008211503,,0,0,400.0,,1,0,0,0,1,,,,,,
Nestle Cerleac Multi Grain with Red Fruits 175gm,Baby Food,14,8961008220499,,0,0,400.0,,1,0,0,0,1,,,,,,
Nestle Cerleac Multi Grain with Yellow Fruits 175gm,Baby Food,15,8961008220482,,0,0,400.0,,1,0,0,0,1,,,,,,
Nestle Cerleac Three Fruits and Rice 175gm,Baby Food,16,8961008220321,,0,0,630.0,,1,0,0,0,1,,,,,,
Nestle NIDO One Plus 375gm,Baby Food,17,8961008219462,,0,0,830.0,,1,0,0,0,1,,,,,,
Nestle NIDO Three Plus 375gm,Baby Food,18,8961008219486,,0,0,840.0,,1,0,0,0,1,,,,,,
Nestle NAN 1 300gm,Baby Food,19,8961008217048,,0,0,750.0,,1,0,0,0,1,,,,,,
Nestle NAN 2 300gm,Baby Food,20,8961008217055,,0,0,750.0,,1,0,0,0,1,,,,,,
Nestle NAN A.R. 380gm,Baby Food,21,7613036191883,,0,0,2100.0,,1,0,0,0,1,,,,,,
Nestle NAN 1 400gm,Baby Food,22,4800361414517,,0,0,2290.0,,1,0,0,0,1,,,,,,
Abbott PediaSure 400gm,Nutritional Supplements,23,8886451004543,,0,0,1850.0,,1,0,0,0,1,,,,,,
Abbott Ensure 400gm,Nutritional Supplements,24,8710428016492,,0,0,1900.0,,1,0,0,0,1,,,,,,
Abbott Glucerna 400gm,Nutritional Supplements,25,8710428016515,,0,0,2200.0,,1,0,0,0,1,,,,,,
New Complan Chocolate Flavor 200gm,Nutritional Supplements,26,8901548310267,,0,0,590.0,,1,0,0,0,1,,,,,,
NutriNanga NN-1 200gm,Baby Food,27,QrCode,,0,0,560.0,,1,0,0,0,1,,,,,,
