Name,ProductGroup,SKU,Barcode,MeasurementUnit,Cost,Markup,Price,Tax,IsTaxInclusivePrice,IsPriceChangeAllowed,IsUsingDefaultQuantity,IsService,IsEnabled,Description,Supplier,ReorderPoint,PreferredQuantity,LowStockWarning,WarningQuantity
Nescafe 3 in 1,Nestle,2,8961008219127,,0,0,50.0,,1,0,0,0,1,,,,,,
Mix Sweets 1000gm,Sweets,15,,,0,0,700.0,,1,0,1,0,1,,,,,,
misc;LACTOGEN 1 200gm;8.96101E+12;500,,,,,0,0,0.0,,1,0,1,0,1,,,,,,
;LACTOGEN 2 200gm;8.96101E+12;500,,,,,0,0,0.0,,1,0,1,0,1,,,,,,
;Lactogrow 3 200gm;8.96101E+12;500,,,,,0,0,0.0,,1,0,1,0,1,,,,,,
;LACTOGEN 1 400gm;8.96101E+12;990,,,,,0,0,0.0,,1,0,1,0,1,,,,,,
;LACTOGEN 2 400gm;8.96101E+12;990,,,,,0,0,0.0,,1,0,1,0,1,,,,,,
;LACTOGROW 3 400gm;8.96101E+12;990,,,,,0,0,0.0,,1,0,1,0,1,,,,,,
;LACTOGEN Recover 200gm;8.96101E+12;700,,,,,0,0,0.0,,1,0,1,0,1,,,,,,
;LACTOGEN 1 800gm;8.96101E+12;1970,,,,,0,0,0.0,,1,0,1,0,1,,,,,,
;LACTOGEN 2 800gm;8.96101E+12;1970,,,,,0,0,0.0,,1,0,1,0,1,,,,,,
;Nestle Cerleac Three Fruits and Wheat 175gm;8.96101E+12;340,,,,,0,0,0.0,,1,0,1,0,1,,,,,,
;Nestle Cerleac Wheat 175gm;8.96101E+12;340,,,,,0,0,0.0,,1,0,1,0,1,,,,,,
;Nestle Cerleac Rice 175gm;8.96101E+12;340,,,,,0,0,0.0,,1,0,1,0,1,,,,,,
;Nestle Cerleac With Apple,,,,,0,0,0.0,,1,0,1,0,1,,,,,,
;Nestle Cerleac Multi Grain with Red Fruits 175gm;8.96101E+12;400,,,,,0,0,0.0,,1,0,1,0,1,,,,,,
;Nestle Cerleac Multi Grain with Yellow Fruits 175gm;8.96101E+12;400,,,,,0,0,0.0,,1,0,1,0,1,,,,,,
;Nestle Cerleac Three Fruits and Rice 175gm;8.96101E+12;630,,,,,0,0,0.0,,1,0,1,0,1,,,,,,
;Nestle NIDO One Plus 375gm;8.96101E+12;830,,,,,0,0,0.0,,1,0,1,0,1,,,,,,
;Nestle NIDO Three Plus 375gm;8.96101E+12;840,,,,,0,0,0.0,,1,0,1,0,1,,,,,,
;Nestle NAN 1 300gm;8.96101E+12;750,,,,,0,0,0.0,,1,0,1,0,1,,,,,,
;Nestle NAN 2 300gm;8.96101E+12;750,,,,,0,0,0.0,,1,0,1,0,1,,,,,,
;Nestle NAN A.R. 380gm;7.61304E+12;2100,,,,,0,0,0.0,,1,0,1,0,1,,,,,,
;Nestle NAN 1 400gm;4.80036E+12;2290,,,,,0,0,0.0,,1,0,1,0,1,,,,,,
;Abbott PediaSure 400gm;8.88645E+12;1850,,,,,0,0,0.0,,1,0,1,0,1,,,,,,
;Abbott Ensure 400gm;8.71043E+12;1900,,,,,0,0,0.0,,1,0,1,0,1,,,,,,
;Abbott Glucerna 400gm;8.71043E+12;2200,,,,,0,0,0.0,,1,0,1,0,1,,,,,,
;New Complan Chocolate Flavor 200gm;8.90155E+12;590,,,,,0,0,0.0,,1,0,1,0,1,,,,,,
;NutriNanga NN-1 200gm;QrCode;560,,,,,0,0,0.0,,1,0,1,0,1,,,,,,
;NUZZER NeoLac Two 400gm ;8.80971E+12;2400,,,,,0,0,0.0,,1,0,1,0,1,,,,,,
;FabiMilk One 400gm;5.06008E+12;2080,,,,,0,0,0.0,,1,0,1,0,1,,,,,,
